restaurant,location,cuisine,price,food_rating,service_rating,ambience_rating,value_rating,num_reviews,recommendation_percentage,chef,dining_style,dress_code,noise_level
5 Napkin Burger - Hell's Kitchen,Midtown West,American,$30 and under,4.6,4.5,4.2,4.3,4066,95%,Andy D,Casual Dining,Casual Dress,Moderate
Santina,Meatpacking District,Italian,$31 to $50,4.4,4.3,4.5,3.9,1242,79%,Dan Haar,Casual Dining,Resort Casual,Moderate
Del Posto,Meatpacking District,Italian,$50 and over,4.7,4.8,4.8,4.2,6636,89%,Melissa Rodriguez,Fine Dining,Jacket Preferred,Quiet
LAVO Italian Restaurant,Midtown East,Italian,$50 and over,4.4,4.3,4.3,4.1,2569,83%,Patrik Nuti,Casual Elegant,Smart Casual,Moderate
Hard Rock Cafe - Times Square,Theater District / Times Square,American,$30 and under,4,4.1,4.2,3.7,1285,77%,,Casual Dining,Casual Dress,Moderate
Manzo Ristorante - Eataly NYC Flatiron,Gramercy / Flatiron,Italian,$31 to $50,4.6,4.4,4.3,4.1,880,87%,Chef Adam Hill,Casual Elegant,Smart Casual,Moderate
Marseille,Theater District / Times Square,French,$31 to $50,4.4,4.5,4.4,4.2,6255,95%,Andy D'Amico,Casual Dining,Casual Dress,Moderate
Crave Fishbar - Midtown,Midtown East,Seafood,$30 and under,4.6,4.5,4.4,4.3,1668,95%,Todd Mitgang,Casual Dining,Casual Dress,Moderate
Rock Center Cafe,Rockefeller Center Midtown,Contemporary American,$31 to $50,4.1,4.2,4.4,3.7,3917,83%,David Buico,Casual Dining,Casual Dress,Moderate
Smith & Wollensky - New York,Midtown East,Steakhouse,$50 and over,4.4,4.4,4.3,3.9,7170,83%,Elman Gallardo,Casual Elegant,Business Casual,Moderate
Jean-Georges,Midtown West,French,$50 and over,4.7,4.7,4.7,4.3,5926,89%,Jean-Georges Vongerichten,Fine Dining,Jacket Required,Quiet
The Flatiron Room,Gramercy / Flatiron,American,$31 to $50,4.3,4.5,4.7,4.2,803,95%,Patricia Williams,Casual Dining,Business Casual,Moderate
Sugar Factory - Meatpacking District,Meatpacking District,Contemporary American,$30 and under,3.9,3.8,4,3.5,5406,79%,,Casual Dining,Casual Dress,Moderate
Dos Caminos - Times Square,Theater District / Times Square,Mexican,$31 to $50,4.2,4.1,4.1,3.8,1204,84%,Ariel Fox,Casual Dining,Casual Dress,Moderate
Lexington Brass,Midtown East,American,$31 to $50,4.4,4.3,4.2,4,1309,96%,,Casual Dining,Smart Casual,Moderate
Benno,NoMad,Mediterranean,$50 and over,4.6,4.8,4.5,4.1,106,84%,Jonathan Benno,Fine Dining,Business Casual,Quiet
Havana Central Times Square,Theater District / Times Square,Cuban,$30 and under,4.4,4.4,4.3,4.3,6693,93%,,Casual Dining,Casual Dress,Moderate
The Lobster Club,Midtown East,Japanese,$50 and over,4.6,4.6,4.7,3.9,215,83%,Justin Romine,Casual Dining,Smart Casual,Moderate
The Lambs Club,Theater District / Times Square,Contemporary American,$50 and over,4.6,4.5,4.6,4,2803,89%,,Casual Dining,Casual Dress,Moderate
Indian Accent,Midtown West,Indian,$50 and over,4.8,4.7,4.5,4.2,1552,93%,Manish Mehrotra,Fine Dining,Smart Casual,Quiet
Osteria al Doge,Theater District / Times Square,Italian,$31 to $50,4.4,4.5,4.4,4.1,4691,91%,,Casual Dining,Casual Dress,Moderate
Grand Central Oyster Bar,Midtown East,Seafood,$31 to $50,4.1,3.9,4.1,3.6,5724,81%,Sandy Ingber,Casual Dining,Casual Dress,Moderate
Boucherie - Union Square,Gramercy / Flatiron,French,$31 to $50,4.2,4.2,4.3,3.7,485,78%,Jerome DIHUI,Casual Elegant,Business Casual,Moderate
The Bar Room at The Modern,Midtown West,Contemporary American,$31 to $50,4.7,4.7,4.7,4.3,4146,94%,Abram Bissell,Casual Elegant,Business Casual,Moderate
Butcher and Banker NYC,Midtown West,Steakhouse,$31 to $50,4.4,4.4,4.4,4,419,87%,Scott Campbell,Casual Elegant,Business Casual,Quiet
Ortzi by Jose Garces,Theater District / Times Square,Basque,$31 to $50,4.6,4.5,4.3,4.2,497,94%,Jose Garces,Casual Elegant,Smart Casual,Moderate
The Palm Court at The Plaza Hotel,Midtown East,American,$31 to $50,4.4,4.4,4.7,3.9,2530,82%,Sani Hebaj ,Casual Elegant,Business Casual,Quiet
Wokuni,Murray Hill,Japanese,$31 to $50,4.5,4.4,4.5,4.2,297,91%,,Casual Dining,Business Casual,Moderate
FIG & OLIVE Meatpacking,Meatpacking District,Mediterranean,$31 to $50,4.4,4.3,4.6,4,6156,87%,,Casual Elegant,Business Casual,Moderate
Rue 57,Midtown West,French,$30 and under,4.3,4.3,4.4,4.1,3136,87%,Rich Robson           ,Casual Dining,Casual Dress,Moderate
The Palm West Side,Theater District / Times Square,Steakhouse,$50 and over,4.5,4.5,4.4,4.1,5438,93%,Michael England,Fine Dining,Business Casual,Moderate
Sparks Steak House,Midtown East,Steakhouse,$50 and over,4.5,4.5,4.4,4,2886,85%,,Casual Elegant,Business Casual,Moderate
Rosa Mexicano - Union Square,Union Square,Mexican,$31 to $50,4.3,4.2,4.3,4,4272,91%,Ishmael Lozano,Casual Elegant,Smart Casual,Moderate
Sen Sakana,Midtown West,Sushi,$31 to $50,4.5,4.5,4.5,4.1,544,93%,Mina Newman,Casual Elegant,Business Casual,Moderate
Freds Madison at Barneys New York,Upper East Side,American,$31 to $50,4.5,4.3,4.4,3.9,1629,92%,Alfredo Escobar,Casual Elegant,Smart Casual,Moderate
Claudette,Greenwich Village,French,$30 and under,4.5,4.5,4.6,4.1,1294,92%,Ari Bokovza,Casual Elegant,Casual Dress,Moderate
Trattoria Dell'Arte,Midtown West,Italian,$31 to $50,4.4,4.5,4.3,4,6329,89%,Anthony Acinapura,Casual Elegant,Smart Casual,Moderate
La Masseria,Theater District / Times Square,Italian,$31 to $50,4.6,4.5,4.5,4.1,4115,93%,Giuseppe Coladonato,Casual Elegant,Smart Casual,Moderate
Tommy Bahama - New York,Midtown East,American,$30 and under,4.5,4.4,4.5,4.2,1806,96%,,Casual Elegant,Resort Casual,Moderate
Virgil's Real BBQ - New York City,Theater District / Times Square,Barbecue,$30 and under,4.3,4.4,4.2,4.1,6440,90%,Thomas Legoff,Casual Dining,Casual Dress,Moderate
Max Brenner - Union Square,Union Square,Comfort Food,$30 and under,4.3,4.1,4.1,3.9,7299,89%,,Casual Dining,Casual Dress,Moderate
Nix,Greenwich Village,Vegetarian,$31 to $50,4.6,4.5,4.5,4.2,1571,92%,John Fraser,Casual Dining,Casual Dress,Moderate
Morandi,West Village,Italian,$31 to $50,4.5,4.4,4.5,4.1,1094,83%,,Casual Dining,Casual Dress,Moderate
Ruth's Chris Steak House - New York City - Midtown,Theater District / Times Square,Steakhouse,$31 to $50,4.5,4.5,4.4,4.2,4753,89%,Steve DeLucia,Fine Dining,Business Casual,Moderate
Boqueria Flatiron,Gramercy / Flatiron,Spanish,$31 to $50,4.6,4.5,4.4,4.2,542,92%,Marc Vidal,Casual Dining,Casual Dress,Moderate
Gyu-Kaku - Times Square,Theater District / Times Square,Japanese,$30 and under,4.7,4.5,4.5,4.5,1352,96%,Japanese,Casual Dining,Casual Dress,Moderate
DaDong NY,Midtown West,Chinese,$31 to $50,3.9,4.1,4.2,3.5,610,65%,Andy Xu ,Casual Elegant,Business Casual,Moderate
La Pizza & La Pasta - Eataly NYC Flatiron,Gramercy / Flatiron,Italian,$30 and under,4.5,4.1,4,4,323,89%,,Casual Dining,Business Casual,Moderate
Casa Nonna - Midtown,Midtown West,Italian,$31 to $50,4.5,4.5,4.5,4.1,2054,90%,Atilio Ramos,Casual Dining,Casual Dress,Moderate
21 Club,Midtown West,American,$50 and over,4.4,4.6,4.7,4.1,3709,85%,Sylvain Delpique,Fine Dining,Jacket Required,Moderate
BG - Bergdorf Goodman,Midtown West,Contemporary American,$31 to $50,4.6,4.7,4.7,4.2,2456,96%,James Henderson,Casual Elegant,Smart Casual,Moderate
Covina,Midtown East,American,$31 to $50,4.6,4.4,4.6,4.1,498,98%,,Casual Elegant,Casual Dress,Moderate
Haru Sushi - W 43rd,Theater District / Times Square,Japanese,$31 to $50,4.4,4.2,4.1,4,1563,93%,Ben Dorado,Casual Elegant,Casual Dress,Moderate
Sardi's,Theater District / Times Square,Continental,$31 to $50,4.2,4.4,4.4,3.9,4228,89%,,Casual Elegant,Casual Dress,Moderate
Momofuku Nishi,Chelsea,Contemporary Italian,$31 to $50,4.4,4.4,4.2,3.9,759,86%,Nicholas Tamburo ,Casual Elegant,Casual Dress,Moderate
Gotham Bar and Grill,Union Square,Contemporary American,$50 and over,4.7,4.7,4.7,4.2,9131,93%,Alfred Portale,Fine Dining,Smart Casual,Moderate
Kyma - Flatiron,Gramercy / Flatiron,Greek,$50 and over,4.7,4.5,4.6,4.1,214,95%,Chris Christou,Casual Elegant,Business Casual,Moderate
Craft,Gramercy / Flatiron,American,$50 and over,4.5,4.5,4.5,4.1,5522,86%,"Tom Colicchio, Chef & Owner; Abbey de la Rosa, Chef de Cuisine",Casual Elegant,Business Casual,Quiet
Bar SixtyFive at Rainbow Room,Rockefeller Center Midtown,Contemporary American,$31 to $50,4.2,4.2,4.6,3.9,1892,87%,Mathew Woolf,Casual Elegant,Smart Casual,Moderate
Benjamin Steakhouse Prime,Midtown East,American,$50 and over,4.7,4.7,4.6,4.4,624,89%,Arturo McLeod,Casual Elegant,Smart Casual,Moderate
The Capital Grille - NY - Rockefeller Center,Midtown West,Steakhouse,$50 and over,4.6,4.7,4.6,4.3,3804,95%,Peter Menard,Fine Dining,Business Casual,Moderate
Fogo de Chao Brazilian Steakhouse - New York,Midtown West,Brazilian Steakhouse,$50 and over,4.6,4.4,4.5,4.2,2230,90%,,Casual Elegant,Casual Dress,Moderate
Cafe Un Deux Trois,Theater District / Times Square,French,$31 to $50,4.1,4.3,4.1,4,3684,90%,Luis Gonzalez,Casual Dining,Casual Dress,Moderate
Morimoto New York,Chelsea,Japanese,$50 and over,4.6,4.5,4.6,4.1,6399,88%,Cassidy Hallman,Fine Dining,Business Casual,Moderate
The Smith - East Village,East Village,American,$30 and under,4.6,4.6,4.4,4.3,3134,94%,Brian Ellis,Casual Dining,Casual Dress,Moderate
Haven Rooftop,Midtown West,American,$31 to $50,4.2,4.2,4.4,3.8,1959,80%,Madison Belem,Casual Elegant,Business Casual,Moderate
The Modern,Midtown West,Contemporary American,$50 and over,4.8,4.8,4.8,4.3,4595,96%,Abram Bissell,Fine Dining,Business Casual,Quiet
Wolfgang's Steak House - Times Square,Theater District / Times Square,Steakhouse,$50 and over,4.5,4.1,4.2,3.8,2113,81%,,Casual Dining,Casual Dress,Moderate
L'adresse,Midtown West,Contemporary American,$31 to $50,4.4,4.4,4.4,4,421,94%,Isaac Correa,Casual Elegant,Business Casual,Moderate
Hunt & Fish Club NYC,Theater District / Times Square,Steakhouse,$50 and over,4.5,4.4,4.6,4,1522,89%,Chad Brown ,Fine Dining,Smart Casual,Moderate
Toloache-Midtown,Theater District / Times Square,Mexican,$30 and under,4.5,4.4,4.2,4,5743,92%,Julian Medina,Casual Dining,Business Casual,Moderate
Nougatine at Jean Georges,Midtown West,French,$31 to $50,4.5,4.5,4.5,4.2,6429,88%,Jean-Georges Vongerichten,Casual Elegant,Smart Casual,Moderate
The Clocktower,Gramercy / Flatiron,English,$50 and over,4.4,4.4,4.6,3.9,1293,81%,Jason Atherton,Casual Elegant,Business Casual,Moderate
THE GRILL,Midtown East,Steakhouse,$50 and over,4.7,4.8,4.8,3.9,418,91%,Mario Carbone & Rich Torrisi,Elegant Dining,Business Casual,Moderate
Almond,Gramercy / Flatiron,Farm-to-table,$31 to $50,4.5,4.3,4.4,4.1,2346,89%,Jason Weiner,Casual Elegant,Casual Dress,Moderate
The Capital Grille - NY – Chrysler Center,Midtown East,Steakhouse,$50 and over,4.7,4.7,4.6,4.3,3899,96%,Juan Arboleda,Fine Dining,Business Casual,Moderate
Barbounia,Gramercy / Flatiron,Mediterranean,$31 to $50,4.6,4.4,4.5,4.1,2569,84%,Amitzur Mor,Casual Dining,Business Casual,Moderate
Babbo Ristorante,Greenwich Village,Italian,$50 and over,4.7,4.6,4.6,4.2,2846,91%,Robert Zwirz,Casual Elegant,Smart Casual,Moderate
Ted's Montana Grill - NYC,Midtown West,American,$31 to $50,4.3,4.2,4.2,4,1135,93%,Chris Raucci,Casual Dining,Business Casual,Moderate
Gyu-Kaku - Midtown,Midtown East,Japanese,$30 and under,4.6,4.5,4.4,4.5,1992,94%,You are the chef!!!,Casual Elegant,Business Casual,Moderate
La Pecora Bianca - Midtown,Midtown East,Italian,$30 and under,4.6,4.4,4.5,4.2,613,93%,,Casual Dining,Business Casual,Moderate
Ocean Prime - New York,Rockefeller Center Midtown,Seafood,$31 to $50,4.7,4.7,4.7,4.2,2377,96%,Eugenio Reyes,Fine Dining,Business Casual,Moderate
BLACKBARN Restaurant - NoMad,NoMad,American,$31 to $50,4.5,4.3,4.5,4,1038,90%,John Doherty/Matteo Bergamini,Casual Elegant,Smart Casual,Moderate
VITAE,Midtown East,Contemporary American,$31 to $50,4.4,4.5,4.4,4,1360,91%,Chef/Owner Edwin Bellanco,Casual Elegant,Business Casual,Moderate
Anassa Taverna,Upper East Side,Greek,$31 to $50,4.5,4.3,4.2,4,1018,89%,,Casual Dining,Casual Dress,Moderate
The Shakespeare,Midtown East,British,$31 to $50,4.2,4.3,4.3,4.1,330,92%,Jason Hicks,Casual Dining,Casual Dress,Moderate
Avra Estiatorio on 48th,Midtown East,Seafood,$50 and over,4.7,4.5,4.4,4.1,4107,95%,Fermin Chavez,Casual Elegant,Business Casual,Moderate
Souvlaki GR Midtown,Midtown West,Greek,$30 and under,4.6,4.2,4.1,4.3,730,93%,,Casual Dining,Casual Dress,Moderate
Del Frisco's Grille - NYC,Rockefeller Center Midtown,American,$31 to $50,4.5,4.5,4.3,4,2866,87%,Greg Lombardi,Casual Dining,Casual Dress,Moderate
Foragers Table,Chelsea,American,$31 to $50,4.6,4.6,4.4,4,802,92%,Edwin Albarracin,Casual Elegant,Smart Casual,Moderate
da Umberto,Chelsea,Italian,$50 and over,4.7,4.7,4.6,4.3,717,96%,,Fine Dining,Smart Casual,Moderate
Charlie Palmer Steak,Midtown East,Steakhouse,$31 to $50,4.2,4.3,4.1,3.7,599,73%,Charlie Palmer,Casual Elegant,Business Casual,Quiet
Bistango Ristorante 29th St.,Midtown East,Italian,$30 and under,4.6,4.5,4.3,4.4,967,94%,,Casual Elegant,Smart Casual,Moderate
Socarrat Paella Bar - Chelsea,Chelsea,Spanish,$31 to $50,4.5,4.4,4.3,4.1,1268,91%,,Casual Elegant,Casual Dress,Moderate
Maloney & Porcelli,Midtown East,American,$50 and over,4.4,4.3,4.3,4,2414,87%,Aaron Bashy,Casual Elegant,Business Casual,Moderate
Hill Country Barbecue Market – Flatiron,Chelsea,Barbecue,$30 and under,4.5,4.3,4.3,4.3,1805,93%,,Casual Dining,Casual Dress,Moderate
Banc Cafe,Murray Hill,Contemporary American,$30 and under,4.6,4.5,4.6,4.5,275,90%,John J. Loughran,Casual Dining,Casual Dress,Moderate
Felidia,Midtown East,Italian,$31 to $50,4.7,4.6,4.5,4.1,4998,90%,Fortunato Nicotra,Fine Dining,Smart Casual,Moderate
Madison & Vine,Midtown East,American,$31 to $50,4.3,4.4,4.1,3.9,954,83%,,Casual Elegant,Business Casual,Moderate
Cacio e Pepe,East Village,Contemporary Italian,$31 to $50,4.6,4.5,4.3,4.3,914,88%,Salvatore Corea,Casual Dining,Casual Dress,Moderate
Il Tinello,Midtown West,Italian,$50 and over,4.7,4.8,4.6,4.3,1190,95%,,Casual Elegant,Business Casual,Quiet
Trattoria Bianca,Midtown West,Italian,$30 and under,4.2,4.2,4,4.1,633,90%,Julian Clauss-Ehlers,Casual Elegant,Business Casual,Moderate
Coppola's East,Murray Hill,Italian,$30 and under,4.5,4.5,4.3,4.3,398,96%,Salvatore Coppola,Casual Dining,Casual Dress,Moderate
Michael's,Midtown West,American,$31 to $50,4.5,4.5,4.5,4,1250,89%,Kyung Up Lim ,Casual Elegant,Casual Dress,Moderate
The Black Derby,West Village,American,$31 to $50,4.6,4.5,4.5,4.2,208,90%,,Casual Dining,Casual Dress,Moderate
Hourglass Tavern,Theater District / Times Square,Comfort Food,$30 and under,4.3,4.6,4.3,4.5,1891,92%,Tony Figueroa,Casual Dining,Casual Dress,Moderate
Jue Lan Club,Gramercy / Flatiron,Chinese,$31 to $50,4.3,4.4,4.4,4,427,89%,Oscar Toro,Casual Dining,Casual Dress,Moderate
Brasserie Ruhlmann,Rockefeller Center Midtown,French American,$31 to $50,4.4,4.4,4.5,4,1515,87%,Laurent Tourondel,Casual Elegant,Smart Casual,Moderate
NERAI,Midtown East,Greek,$50 and over,4.7,4.6,4.6,4.1,1002,96%,Moshe Grundman,Casual Elegant,Business Casual,Moderate
The Ribbon - Midtown,Theater District / Times Square,Contemporary American,$50 and over,4.3,4.2,4.3,3.8,118,83%,,Casual Elegant,Smart Casual,Moderate
Bazar Tapas Bar and Restaurant,NoMad,Tapas / Small Plates,$31 to $50,4.3,4.1,4.3,4,177,93%,,Casual Elegant,Casual Dress,Moderate
Sushi Ryusei,Murray Hill,Sushi,$50 and over,4.7,4.7,4.6,4.4,57,92%,Masato Oyama,Fine Dining,Business Casual,Quiet
American Cut Steakhouse Midtown,Midtown East,Steakhouse,$31 to $50,4.5,4.4,4.5,4,505,89%,Anastacia Song,Fine Dining,Business Casual,Moderate
Clement,Midtown West,American,$31 to $50,4.6,4.6,4.7,4.1,615,88%,David Joo,Casual Elegant,Smart Casual,Quiet
District Tap House,Theater District / Times Square,American,$30 and under,4.5,4.5,4.4,4.1,388,100%,Harrison Mosher,Casual Dining,Casual Dress,Moderate
Serafina Always,Upper East Side,Italian,$31 to $50,4.4,4.2,4.2,4,521,85%,,Casual Dining,Casual Dress,Moderate
Uncle Jack's Steakhouse - Westside 9th Avenue,Midtown West,Steak,$31 to $50,4.4,4.5,4.4,3.9,2112,85%,,Casual Elegant,Business Casual,Moderate
Sushi Seki Times Square,Midtown West,Sushi,$31 to $50,4.5,4.4,4.2,3.9,336,92%,Chef Seki Shi,Casual Dining,Casual Dress,Quiet
Benoit Restaurant and Wine Bar,Midtown West,French,$31 to $50,4.5,4.5,4.5,4.1,3420,93%,Laëtitia Rouabah,Casual Elegant,Casual Dress,Moderate
o ya - NYC,Gramercy / Flatiron,Japanese,$31 to $50,4.6,4.7,4.5,3.8,232,69%,Timothy Cushman,Casual Elegant,Casual Dress,Moderate
Aldea,Gramercy / Flatiron,Portuguese,$50 and over,4.6,4.7,4.5,4.2,2126,91%,George Mendes,Casual Elegant,Business Casual,Quiet
Don't Tell Mama NYC,Theater District / Times Square,Contemporary American,$30 and under,4.2,4.5,4.2,4.1,1654,90%,,Casual Elegant,Casual Dress,Moderate
New Blue Dog Cookhouse & Drinkery,Midtown West,Contemporary American,$30 and under,4.4,4.3,4,3.9,443,84%,Jesus Zenon,Casual Dining,Business Casual,Moderate
The House in Gramercy Park,Gramercy / Flatiron,American,$31 to $50,4.4,4.5,4.7,4,1324,88%,Sean Olnowich,Casual Elegant,Smart Casual,Quiet
Spice Symphony – 50th St.,Midtown East,Indian,$30 and under,4.6,4.5,4.4,4.4,1225,93%,Walter D Rozario,Casual Elegant,Smart Casual,Moderate
Blossom- Chelsea,Chelsea,Vegetarian / Vegan,$31 to $50,4.6,4.7,4.5,4.3,1465,94%,Ramiro Ramirez,Casual Elegant,Smart Casual,Moderate
Aretsky's Patroon,Midtown East,American,$31 to $50,4.6,4.7,4.7,4.3,1021,98%,Aaron Fitterman,Casual Elegant,Business Casual,Moderate
La Bergamote - Hell's Kitchen,Hell's Kitchen,French,$30 and under,4.2,4.2,3.8,3.9,80,89%,Romain Lamaze,Casual Dining,Business Casual,Quiet
BarKogi,Midtown East,Korean,$30 and under,4.2,4.3,3.8,4,114,88%,Danny Louie,Casual Dining,Casual Dress,Moderate
Buenavista Restaurant & Bar,Midtown West,"Global, International",$30 and under,4.7,4.8,4.4,4.5,158,98%,Rene Hernandez Hernandez,Casual Dining,Casual Dress,Moderate
Coarse NYC,West Village,Farm-to-table,$30 and under,4.8,4.7,4.6,4.7,449,98%,,Casual Dining,Business Casual,Moderate
Bobby Van's Grill Times Square,Midtown West,American,$50 and over,4.4,4.4,4.2,4,1245,84%,,Casual Dining,Casual Dress,Quiet
Alcala,Midtown East,Spanish,$31 to $50,4.4,4.3,4.3,4.2,484,100%,Narciso Camarillo and Alfredo Mejía,Casual Dining,Casual Dress,Quiet
Valerie,Midtown West,Contemporary American,$30 and under,4.2,4.3,4.4,4,96,88%,,Casual Dining,Casual Dress,Moderate
Rattle N Hum West,Theater District / Times Square,American,$30 and under,3.8,4.3,4.2,3.8,19,100%,,Casual Dining,Casual Dress,Moderate
INTI NYC Restaurant,Hell's Kitchen,Peruvian,$30 and under,4.5,4.5,3.9,4.2,73,94%,Victor Rojas,Casual Dining,Casual Dress,Quiet
Joe G Restaurant,Midtown West,Italian,$30 and under,4.4,4.6,4.3,4.5,351,100%,,Casual Elegant,Casual Dress,Moderate
Ageha,Hell's Kitchen,Japanese,$30 and under,4.2,4.3,4.1,4.3,141,90%,,Casual Dining,Casual Dress,Quiet
2 Darbar Grill,Midtown East,Indian,$30 and under,4.3,4.4,4.1,4.2,335,100%,Simon Gomes,Casual Elegant,Casual Dress,Quiet
Pierre Loti Chelsea,Chelsea,Mediterranean,$30 and under,3.5,3.1,3.9,3.6,260,54%,,Casual Dining,Casual Dress,Moderate
Pietro's,Turtle Bay,Italian,$31 to $50,4.6,4.5,4.1,4.1,54,100%,,Casual Dining,Business Casual,Moderate
Mamasita Bar & Grill,Hell's Kitchen,Mexican,$30 and under,4.4,4.2,4,4.1,188,76%,Pk & Luis Lopez,Casual Dining,Casual Dress,Moderate
Medi Wine Bar,Hell's Kitchen,Mediterranean,$30 and under,4.4,4.1,4.4,4,509,83%,Andrea Giacomoni and Luca Cabras,Casual Dining,Smart Casual,Moderate
Guantanamera,Midtown West,Cuban,$30 and under,4.4,4.3,4.2,4.1,1488,92%,,Casual Elegant,Casual Dress,Moderate
Pasta Lovers Trattoria,Midtown West,Italian,$30 and under,4.3,4.4,4.2,4.1,613,88%,,Casual Dining,Casual Dress,Moderate
Le Baratin,Greenwich Village,Contemporary French / American,$30 and under,4.7,4.6,4.5,4.6,410,93%,,Casual Dining,Casual Dress,Moderate
The Polynesian,Midtown West,Hawaiian,$30 and under,4.2,4.3,4.6,3.8,30,78%,Rich Torrisi and Mario Carbone,Casual Dining,Resort Casual,Moderate
Brasserie Cognac,Midtown West,French,$31 to $50,4.2,4,4.2,3.9,1688,90%,,Casual Dining,Casual Dress,Moderate
Le Colonial NYC,Midtown East,Vietnamese,$31 to $50,4.4,4.4,4.5,4,2011,89%,,Casual Elegant,Business Casual,Quiet
Wallflower,West Village,American,$31 to $50,4.5,4.5,4.6,4.1,380,94%,Jeremy Salamon,Casual Elegant,Smart Casual,Moderate
5 Napkin Burger - Union Square,Union Square,Burgers,$30 and under,4.5,4.4,4.2,4.2,616,95%,Andy D'Amico,Casual Elegant,Casual Dress,Moderate
Monkey Bar,Midtown East,American,$50 and over,4.3,4.4,4.6,3.9,1107,86%,,Casual Elegant,Smart Casual,Moderate
Bocca di Bacco (Hell's Kitchen - 54th St.),Hell's Kitchen,Italian,$30 and under,4.5,4.5,4.3,4.3,1878,91%,,Casual Dining,Casual Dress,Moderate
